========================================================================
Baseline Performance Benchmark
========================================================================

## Condition: no_subconscious  (n=45)
  quality_score            mean=0.639 std=0.414 95% CI=[0.514, 0.763] n=45
  total_tokens             mean=7272.0 std=9091.0 95% CI=[4539.7, 10004.4] n=45
  total_turns              mean=2.6 std=1.2 95% CI=[2.3, 3.0] n=45
  user_stops               mean=0.3 std=0.5 95% CI=[0.2, 0.5] n=45
  task_completed           mean=0.667 std=0.477 95% CI=[0.523, 0.810] n=45
  wall_clock_ms            mean=159637.0 std=171756.4 95% CI=[108014.3, 211259.6] n=45
  tool_invocation_count    mean=0.0 std=0.0 95% CI=[0.0, 0.0] n=45
  tool_cost_usd            mean=0.000 std=0.000 95% CI=[0.000, 0.000] n=45
  avg_queue_depth          mean=0.000 std=0.000 95% CI=[0.000, 0.000] n=45
  interrupt_count          mean=0.0 std=0.0 95% CI=[0.0, 0.0] n=45
  drain_count              mean=0.0 std=0.0 95% CI=[0.0, 0.0] n=45
  expired_count            mean=0.0 std=0.0 95% CI=[0.0, 0.0] n=45
  latency_prediction       MAPE=0.00% n_pairs=0
  transport_failures       n=5 (tasks: frames_hard_006, frames_hard_008, frames_hard_013, frames_hard_016, frames_hard_031)

## Condition: random  (n=49)
  quality_score            mean=0.556 std=0.442 95% CI=[0.429, 0.683] n=49
  total_tokens             mean=10156.9 std=10551.1 95% CI=[7125.1, 13188.7] n=49
  total_turns              mean=2.8 std=1.1 95% CI=[2.5, 3.1] n=49
  user_stops               mean=0.4 std=0.5 95% CI=[0.2, 0.5] n=49
  task_completed           mean=0.592 std=0.497 95% CI=[0.449, 0.735] n=49
  wall_clock_ms            mean=158386.8 std=191388.6 95% CI=[103392.6, 213380.9] n=49
  tool_invocation_count    mean=0.6 std=0.6 95% CI=[0.4, 0.7] n=49
  tool_cost_usd            mean=0.000 std=0.000 95% CI=[0.000, 0.000] n=49
  avg_queue_depth          mean=0.037 std=0.128 95% CI=[0.000, 0.074] n=49
  interrupt_count          mean=0.0 std=0.0 95% CI=[0.0, 0.0] n=49
  drain_count              mean=0.1 std=0.3 95% CI=[0.0, 0.2] n=49
  expired_count            mean=0.0 std=0.0 95% CI=[0.0, 0.0] n=49
  latency_prediction       MAPE=62.48% n_pairs=27
  transport_failures       n=1 (tasks: frames_hard_008)

## Condition: heuristic  (n=48)
  quality_score            mean=0.672 std=0.449 95% CI=[0.541, 0.802] n=48
  total_tokens             mean=10201.1 std=10212.4 95% CI=[7234.5, 13167.8] n=48
  total_turns              mean=2.6 std=1.0 95% CI=[2.3, 2.9] n=48
  user_stops               mean=0.3 std=0.5 95% CI=[0.2, 0.5] n=48
  task_completed           mean=0.667 std=0.476 95% CI=[0.528, 0.805] n=48
  wall_clock_ms            mean=147312.0 std=141115.7 95% CI=[106318.8, 188305.3] n=48
  tool_invocation_count    mean=1.1 std=0.5 95% CI=[1.0, 1.2] n=48
  tool_cost_usd            mean=0.000 std=0.000 95% CI=[0.000, 0.000] n=48
  avg_queue_depth          mean=0.212 std=0.221 95% CI=[0.148, 0.276] n=48
  interrupt_count          mean=0.0 std=0.0 95% CI=[0.0, 0.0] n=48
  drain_count              mean=0.5 std=0.5 95% CI=[0.4, 0.7] n=48
  expired_count            mean=0.0 std=0.0 95% CI=[0.0, 0.0] n=48
  latency_prediction       MAPE=74.95% n_pairs=53
  transport_failures       n=2 (tasks: frames_hard_006, frames_hard_008)

## Comparisons
  heuristic > random on quality_score (Welch 95%): NO
  heuristic > no_subconscious on quality_score (Welch 95%): NO
