========================================================================
Baseline Performance Benchmark
========================================================================

## Condition: no_subconscious  (n=40)
  quality_score            mean=0.738 std=0.376 95% CI=[0.617, 0.858] n=40
  total_tokens             mean=4945.1 std=4878.8 95% CI=[3384.5, 6505.8] n=40
  total_turns              mean=2.3 std=0.7 95% CI=[2.1, 2.5] n=40
  user_stops               mean=0.2 std=0.4 95% CI=[0.1, 0.3] n=40
  task_completed           mean=0.825 std=0.385 95% CI=[0.702, 0.948] n=40
  wall_clock_ms            mean=212984.0 std=215729.2 95% CI=[143976.5, 281991.5] n=40
  tool_invocation_count    mean=0.0 std=0.0 95% CI=[0.0, 0.0] n=40
  tool_cost_usd            mean=0.000 std=0.000 95% CI=[0.000, 0.000] n=40
  avg_queue_depth          mean=0.000 std=0.000 95% CI=[0.000, 0.000] n=40
  interrupt_count          mean=0.0 std=0.0 95% CI=[0.0, 0.0] n=40
  drain_count              mean=0.0 std=0.0 95% CI=[0.0, 0.0] n=40
  expired_count            mean=0.0 std=0.0 95% CI=[0.0, 0.0] n=40
  latency_prediction       MAPE=0.00% n_pairs=0
  transport_failures       n=10 (tasks: frames_hard_001, frames_hard_006, frames_hard_008, frames_hard_013, frames_hard_016, frames_hard_018, frames_hard_024, frames_hard_027, frames_hard_031, frames_hard_034)

## Condition: random  (n=45)
  quality_score            mean=0.509 std=0.438 95% CI=[0.378, 0.641] n=45
  total_tokens             mean=7681.8 std=7461.0 95% CI=[5439.4, 9924.3] n=45
  total_turns              mean=2.4 std=0.9 95% CI=[2.2, 2.7] n=45
  user_stops               mean=0.4 std=0.5 95% CI=[0.2, 0.5] n=45
  task_completed           mean=0.622 std=0.490 95% CI=[0.475, 0.770] n=45
  wall_clock_ms            mean=228889.8 std=238406.7 95% CI=[157234.9, 300544.7] n=45
  tool_invocation_count    mean=0.5 std=0.6 95% CI=[0.4, 0.7] n=45
  tool_cost_usd            mean=0.000 std=0.000 95% CI=[0.000, 0.000] n=45
  avg_queue_depth          mean=0.011 std=0.075 95% CI=[-0.011, 0.034] n=45
  interrupt_count          mean=0.0 std=0.0 95% CI=[0.0, 0.0] n=45
  drain_count              mean=0.0 std=0.1 95% CI=[-0.0, 0.1] n=45
  expired_count            mean=0.0 std=0.0 95% CI=[0.0, 0.0] n=45
  latency_prediction       MAPE=65.46% n_pairs=24
  transport_failures       n=5 (tasks: frames_hard_006, frames_hard_011, frames_hard_016, frames_hard_022, frames_hard_031)

## Condition: heuristic  (n=47)
  quality_score            mean=0.599 std=0.446 95% CI=[0.468, 0.730] n=47
  total_tokens             mean=11482.4 std=9359.8 95% CI=[8733.0, 14231.8] n=47
  total_turns              mean=2.7 std=1.3 95% CI=[2.3, 3.1] n=47
  user_stops               mean=0.3 std=0.5 95% CI=[0.2, 0.4] n=47
  task_completed           mean=0.638 std=0.486 95% CI=[0.496, 0.781] n=47
  wall_clock_ms            mean=232729.4 std=265149.0 95% CI=[154843.8, 310615.0] n=47
  tool_invocation_count    mean=1.1 std=0.4 95% CI=[1.0, 1.3] n=47
  tool_cost_usd            mean=0.000 std=0.000 95% CI=[0.000, 0.000] n=47
  avg_queue_depth          mean=0.267 std=0.221 95% CI=[0.202, 0.331] n=47
  interrupt_count          mean=0.0 std=0.0 95% CI=[0.0, 0.0] n=47
  drain_count              mean=0.7 std=0.6 95% CI=[0.5, 0.8] n=47
  expired_count            mean=0.0 std=0.0 95% CI=[0.0, 0.0] n=47
  latency_prediction       MAPE=60.72% n_pairs=54
  transport_failures       n=3 (tasks: frames_hard_016, frames_hard_018, frames_hard_032)

## Comparisons
  heuristic > random on quality_score (Welch 95%): NO
  heuristic > no_subconscious on quality_score (Welch 95%): NO
